method,FactorNumber,RowInd,Val
JisstPCA (BIC),2,4,0.0134133188346576
JisstPCA (BIC),2,5,0.021709041552667
JisstPCA (BIC),2,6,0.0114640280652981
JisstPCA (BIC),2,7,-0.0426783263899787
JisstPCA (BIC),2,8,-0.0574117715884121
JisstPCA (BIC),2,9,-0.0139227221828849
JisstPCA (BIC),2,10,-0.0212507352636695
JisstPCA (BIC),2,11,-0.021396620150647
JisstPCA (BIC),2,12,0.0146565572015153
JisstPCA (BIC),2,13,0.000361581310514022
JisstPCA (BIC),2,14,0.0112351899045796
JisstPCA (BIC),2,15,-0.0300824075830961
JisstPCA (BIC),2,16,0.541988313069098
JisstPCA (BIC),2,17,0.584164301440542
JisstPCA (BIC),2,18,-0.0233091022250035
JisstPCA (BIC),2,19,0.593182481313372
JisstPCA (BIC),2,20,-0.00803333278046027
G-JisstPCA (oracle),1,1,0.238206317984358
G-JisstPCA (oracle),1,2,0.238291386803907
G-JisstPCA (oracle),1,3,0.242838464812674
G-JisstPCA (oracle),1,4,0.240488316207608
G-JisstPCA (oracle),1,5,0.247662771814888
G-JisstPCA (oracle),1,6,0.247824633099257
G-JisstPCA (oracle),1,7,0.239110001692828
G-JisstPCA (oracle),1,8,0.247199531948852
G-JisstPCA (oracle),1,9,0.245350690730839
G-JisstPCA (oracle),1,10,0.236522362601483
G-JisstPCA (oracle),1,11,0.230783838689406
G-JisstPCA (oracle),1,12,0.250102656489729
G-JisstPCA (oracle),1,13,0.243572735882167
G-JisstPCA (oracle),1,14,0.249099476791477
G-JisstPCA (oracle),1,15,0.239438596396325
G-JisstPCA (oracle),1,16,0.0311061365808567
G-JisstPCA (oracle),1,17,0.0127249435662874
G-JisstPCA (oracle),1,18,0.238495947579652
G-JisstPCA (oracle),1,19,0.0232785152963873
G-JisstPCA (oracle),1,20,0.24376549573723
G-JisstPCA (oracle),2,1,0.0370658263914726
G-JisstPCA (oracle),2,2,-0.00850648032489245
G-JisstPCA (oracle),2,3,-0.0476176317146294
G-JisstPCA (oracle),2,4,-0.00101128890071201
G-JisstPCA (oracle),2,5,0.0146013872971181
G-JisstPCA (oracle),2,6,0.00726728756443689
G-JisstPCA (oracle),2,7,-0.0309348324795975
G-JisstPCA (oracle),2,8,-0.0609441734722002
G-JisstPCA (oracle),2,9,-0.00725997375182468
G-JisstPCA (oracle),2,10,-0.0264109797470298
G-JisstPCA (oracle),2,11,-0.0153373671413925
G-JisstPCA (oracle),2,12,0.0177990522876398
G-JisstPCA (oracle),2,13,0.00606638798751069
G-JisstPCA (oracle),2,14,0.00949578710288736
G-JisstPCA (oracle),2,15,-0.0214280643527911
G-JisstPCA (oracle),2,16,0.539787851629313
G-JisstPCA (oracle),2,17,0.582305712345637
G-JisstPCA (oracle),2,18,-0.0196577046622085
G-JisstPCA (oracle),2,19,0.598724726513066
G-JisstPCA (oracle),2,20,-0.0122931119738796
G-JisstPCA (BIC),1,1,0.238206317984358
G-JisstPCA (BIC),1,2,0.238291386803907
G-JisstPCA (BIC),1,3,0.242838464812674
G-JisstPCA (BIC),1,4,0.240488316207608
G-JisstPCA (BIC),1,5,0.247662771814888
G-JisstPCA (BIC),1,6,0.247824633099257
G-JisstPCA (BIC),1,7,0.239110001692828
G-JisstPCA (BIC),1,8,0.247199531948852
G-JisstPCA (BIC),1,9,0.245350690730839
G-JisstPCA (BIC),1,10,0.236522362601483
G-JisstPCA (BIC),1,11,0.230783838689406
G-JisstPCA (BIC),1,12,0.250102656489729
G-JisstPCA (BIC),1,13,0.243572735882167
G-JisstPCA (BIC),1,14,0.249099476791477
G-JisstPCA (BIC),1,15,0.239438596396325
G-JisstPCA (BIC),1,16,0.0311061365808567
G-JisstPCA (BIC),1,17,0.0127249435662874
G-JisstPCA (BIC),1,18,0.238495947579652
G-JisstPCA (BIC),1,19,0.0232785152963873
G-JisstPCA (BIC),1,20,0.24376549573723
G-JisstPCA (BIC),2,1,0.0370658263914726
G-JisstPCA (BIC),2,2,-0.00850648032489245
G-JisstPCA (BIC),2,3,-0.0476176317146294
G-JisstPCA (BIC),2,4,-0.00101128890071201
G-JisstPCA (BIC),2,5,0.0146013872971181
G-JisstPCA (BIC),2,6,0.00726728756443689
G-JisstPCA (BIC),2,7,-0.0309348324795975
G-JisstPCA (BIC),2,8,-0.0609441734722002
G-JisstPCA (BIC),2,9,-0.00725997375182468
G-JisstPCA (BIC),2,10,-0.0264109797470298
G-JisstPCA (BIC),2,11,-0.0153373671413925
G-JisstPCA (BIC),2,12,0.0177990522876398
G-JisstPCA (BIC),2,13,0.00606638798751069
G-JisstPCA (BIC),2,14,0.00949578710288736
G-JisstPCA (BIC),2,15,-0.0214280643527911
G-JisstPCA (BIC),2,16,0.539787851629313
G-JisstPCA (BIC),2,17,0.582305712345637
G-JisstPCA (BIC),2,18,-0.0196577046622085
G-JisstPCA (BIC),2,19,0.598724726513066
G-JisstPCA (BIC),2,20,-0.0122931119738796
iHOSVD,1,1,0.244661276841212
iHOSVD,1,2,0.237625034904513
iHOSVD,1,3,0.242281952800974
iHOSVD,1,4,0.245024586362075
iHOSVD,1,5,0.24286889859953
iHOSVD,1,6,0.245447974493248
iHOSVD,1,7,0.242025978489238
iHOSVD,1,8,0.240576842258594
iHOSVD,1,9,0.246522410746862
iHOSVD,1,10,0.239207538711772
iHOSVD,1,11,0.231246481133854
iHOSVD,1,12,0.251022170682216
iHOSVD,1,13,0.23672779448756
iHOSVD,1,14,0.244966741004788
iHOSVD,1,15,0.236210934113777
iHOSVD,1,16,0.0557037153609524
iHOSVD,1,17,0.0356254610643212
iHOSVD,1,18,0.23698481822997
iHOSVD,1,19,0.0466540025303424
iHOSVD,1,20,0.24539429898171
iHOSVD,2,1,-0.0288015742435331
iHOSVD,2,2,0.0914517705351679
iHOSVD,2,3,0.00863912078423169
iHOSVD,2,4,-0.0179056713635992
iHOSVD,2,5,0.0372643337595722
iHOSVD,2,6,-0.0136524485309017
iHOSVD,2,7,0.0168350034141649
iHOSVD,2,8,0.0818323155989655
iHOSVD,2,9,0.0444814638979103
iHOSVD,2,10,0.0125987805883688
iHOSVD,2,11,0.0401408744925859
iHOSVD,2,12,0.0389582807286358
iHOSVD,2,13,0.008425155420918
iHOSVD,2,14,-0.0326387830331838
iHOSVD,2,15,0.0124244102418517
iHOSVD,2,16,-0.522114897632841
iHOSVD,2,17,-0.607256530009798
iHOSVD,2,18,-0.0442947235331621
iHOSVD,2,19,-0.572426269617409
iHOSVD,2,20,0.0655858781067466
iHOOI,1,1,-0.238035785043954
iHOOI,1,2,-0.238357961203012
iHOOI,1,3,-0.24372854513297
iHOOI,1,4,-0.240218055606843
iHOOI,1,5,-0.247540655014573
iHOOI,1,6,-0.247746025101467
iHOOI,1,7,-0.239416914803458
iHOOI,1,8,-0.247822133891183
iHOOI,1,9,-0.245239107220465
iHOOI,1,10,-0.236659307094444
iHOOI,1,11,-0.231195295348664
iHOOI,1,12,-0.249974781094131
iHOOI,1,13,-0.242914308163957
iHOOI,1,14,-0.249088289716298
iHOOI,1,15,-0.240096974238656
iHOOI,1,16,-0.026155304546206
iHOOI,1,17,-0.00744461807203754
iHOOI,1,18,-0.238404342328757
iHOOI,1,19,-0.0175234519076506
iHOOI,1,20,-0.243628343987558
iHOOI,2,1,-0.0373231474785991
iHOOI,2,2,0.00665315847027842
iHOOI,2,3,0.0381794986372513
iHOOI,2,4,0.0007943455102138
iHOOI,2,5,-0.0217284423193479
iHOOI,2,6,-0.00677776829343265
iHOOI,2,7,0.0268764133202899
iHOOI,2,8,0.054866472899042
iHOOI,2,9,0.00757688662112035
iHOOI,2,10,0.0258078477040259
iHOOI,2,11,0.0035231421990786
iHOOI,2,12,-0.0146108504914707
iHOOI,2,13,-0.00718248489904024
iHOOI,2,14,-0.00903566154771532
iHOOI,2,15,0.0116505964898973
iHOOI,2,16,-0.541446948734236
iHOOI,2,17,-0.575784975376084
iHOOI,2,18,0.026056459915438
iHOOI,2,19,-0.605002559159577
iHOOI,2,20,0.015336069696368
truth,1,1,0.242535625036333
truth,1,2,0.242535625036333
truth,1,3,0.242535625036333
truth,1,4,0.242535625036333
truth,1,5,0.242535625036333
truth,1,6,0.242535625036333
truth,1,7,0.242535625036333
truth,1,8,0.242535625036333
truth,1,9,0.242535625036333
truth,1,10,0.242535625036333
truth,1,11,0.242535625036333
truth,1,12,0.242535625036333
truth,1,13,0.242535625036333
truth,1,14,0.242535625036333
truth,1,15,0.242535625036333
truth,1,16,0
truth,1,17,0
truth,1,18,0.242535625036333
truth,1,19,0
truth,1,20,0.242535625036333
truth,2,1,0
truth,2,2,0
truth,2,3,0
truth,2,4,0
truth,2,5,0
truth,2,6,0
truth,2,7,0
truth,2,8,0
truth,2,9,0
truth,2,10,0
truth,2,11,0
truth,2,12,0
truth,2,13,0
truth,2,14,0
truth,2,15,0
truth,2,16,0.577350269189626
truth,2,17,0.577350269189626
truth,2,18,0
truth,2,19,0.577350269189626
truth,2,20,0
JisstPCA0 (oracle),1,1,0.240875619050173
JisstPCA0 (oracle),1,2,0.237191287172413
JisstPCA0 (oracle),1,3,0.241851459924346
JisstPCA0 (oracle),1,4,0.237077221516294
JisstPCA0 (oracle),1,5,0.247514177397466
JisstPCA0 (oracle),1,6,0.247984377176536
JisstPCA0 (oracle),1,7,0.238983120180793
JisstPCA0 (oracle),1,8,0.249863573531069
JisstPCA0 (oracle),1,9,0.247176679647666
JisstPCA0 (oracle),1,10,0.235864846122084
JisstPCA0 (oracle),1,11,0.230863212157223
JisstPCA0 (oracle),1,12,0.252957418472441
JisstPCA0 (oracle),1,13,0.244261937207393
JisstPCA0 (oracle),1,14,0.24799271944947
JisstPCA0 (oracle),1,15,0.240432843448337
JisstPCA0 (oracle),1,16,0.0283122549524562
JisstPCA0 (oracle),1,17,0.0154246448679168
JisstPCA0 (oracle),1,18,0.235626981728584
JisstPCA0 (oracle),1,19,0.0228706080900938
JisstPCA0 (oracle),1,20,0.242174612039663
JisstPCA0 (oracle),2,1,-0.279177007561952
JisstPCA0 (oracle),2,2,-0.246514084003377
JisstPCA0 (oracle),2,3,-0.24814934248021
JisstPCA0 (oracle),2,4,-0.381228664237314
JisstPCA0 (oracle),2,5,-0.299319475110725
JisstPCA0 (oracle),2,6,-0.162097277732623
JisstPCA0 (oracle),2,7,-0.0944316767811838
JisstPCA0 (oracle),2,8,-0.159190975138518
JisstPCA0 (oracle),2,9,-0.226333428641162
JisstPCA0 (oracle),2,10,-0.212524778056651
JisstPCA0 (oracle),2,11,-0.085641658428113
JisstPCA0 (oracle),2,12,-0.262342235544725
JisstPCA0 (oracle),2,13,-0.142793307442927
JisstPCA0 (oracle),2,14,-0.190836230236098
JisstPCA0 (oracle),2,15,-0.105439890491527
JisstPCA0 (oracle),2,16,-0.192761038380981
JisstPCA0 (oracle),2,17,-0.307714496439002
JisstPCA0 (oracle),2,18,-0.207007032062224
JisstPCA0 (oracle),2,19,-0.253677576676077
JisstPCA0 (oracle),2,20,-0.157238883994011
JisstPCA0 (BIC),1,1,0.240875619050173
JisstPCA0 (BIC),1,2,0.237191287172413
JisstPCA0 (BIC),1,3,0.241851459924346
JisstPCA0 (BIC),1,4,0.237077221516294
JisstPCA0 (BIC),1,5,0.247514177397466
JisstPCA0 (BIC),1,6,0.247984377176536
JisstPCA0 (BIC),1,7,0.238983120180793
JisstPCA0 (BIC),1,8,0.249863573531069
JisstPCA0 (BIC),1,9,0.247176679647666
JisstPCA0 (BIC),1,10,0.235864846122084
JisstPCA0 (BIC),1,11,0.230863212157223
JisstPCA0 (BIC),1,12,0.252957418472441
JisstPCA0 (BIC),1,13,0.244261937207393
JisstPCA0 (BIC),1,14,0.24799271944947
JisstPCA0 (BIC),1,15,0.240432843448337
JisstPCA0 (BIC),1,16,0.0283122549524562
JisstPCA0 (BIC),1,17,0.0154246448679168
JisstPCA0 (BIC),1,18,0.235626981728584
JisstPCA0 (BIC),1,19,0.0228706080900938
JisstPCA0 (BIC),1,20,0.242174612039663
JisstPCA0 (BIC),2,1,-0.279177007561952
JisstPCA0 (BIC),2,2,-0.246514084003377
JisstPCA0 (BIC),2,3,-0.24814934248021
JisstPCA0 (BIC),2,4,-0.381228664237314
JisstPCA0 (BIC),2,5,-0.299319475110725
JisstPCA0 (BIC),2,6,-0.162097277732623
JisstPCA0 (BIC),2,7,-0.0944316767811838
JisstPCA0 (BIC),2,8,-0.159190975138518
JisstPCA0 (BIC),2,9,-0.226333428641162
JisstPCA0 (BIC),2,10,-0.212524778056651
JisstPCA0 (BIC),2,11,-0.085641658428113
JisstPCA0 (BIC),2,12,-0.262342235544725
JisstPCA0 (BIC),2,13,-0.142793307442927
JisstPCA0 (BIC),2,14,-0.190836230236098
JisstPCA0 (BIC),2,15,-0.105439890491527
JisstPCA0 (BIC),2,16,-0.192761038380981
JisstPCA0 (BIC),2,17,-0.307714496439002
JisstPCA0 (BIC),2,18,-0.207007032062224
JisstPCA0 (BIC),2,19,-0.253677576676077
JisstPCA0 (BIC),2,20,-0.157238883994011
G-JisstPCA0 (oracle),1,1,0.238206317984358
G-JisstPCA0 (oracle),1,2,0.238291386803907
G-JisstPCA0 (oracle),1,3,0.242838464812674
G-JisstPCA0 (oracle),1,4,0.240488316207608
G-JisstPCA0 (oracle),1,5,0.247662771814888
G-JisstPCA0 (oracle),1,6,0.247824633099257
G-JisstPCA0 (oracle),1,7,0.239110001692828
G-JisstPCA0 (oracle),1,8,0.247199531948852
G-JisstPCA0 (oracle),1,9,0.245350690730839
G-JisstPCA0 (oracle),1,10,0.236522362601483
G-JisstPCA0 (oracle),1,11,0.230783838689406
G-JisstPCA0 (oracle),1,12,0.250102656489729
G-JisstPCA0 (oracle),1,13,0.243572735882167
G-JisstPCA0 (oracle),1,14,0.249099476791477
G-JisstPCA0 (oracle),1,15,0.239438596396325
G-JisstPCA0 (oracle),1,16,0.0311061365808567
G-JisstPCA0 (oracle),1,17,0.0127249435662874
G-JisstPCA0 (oracle),1,18,0.238495947579652
G-JisstPCA0 (oracle),1,19,0.0232785152963873
G-JisstPCA0 (oracle),1,20,0.24376549573723
G-JisstPCA0 (oracle),2,1,0.194488597755295
G-JisstPCA0 (oracle),2,2,0.250811884323698
G-JisstPCA0 (oracle),2,3,0.306404807421035
G-JisstPCA0 (oracle),2,4,0.355979136004827
G-JisstPCA0 (oracle),2,5,0.186827691824871
G-JisstPCA0 (oracle),2,6,0.0282528119458315
G-JisstPCA0 (oracle),2,7,0.189339481633972
G-JisstPCA0 (oracle),2,8,0.112307888355368
G-JisstPCA0 (oracle),2,9,0.27309220532388
G-JisstPCA0 (oracle),2,10,0.200378687450226
G-JisstPCA0 (oracle),2,11,-0.0448711507715037
G-JisstPCA0 (oracle),2,12,0.16295439843803
G-JisstPCA0 (oracle),2,13,0.0327571595718167
G-JisstPCA0 (oracle),2,14,0.130030472474032
G-JisstPCA0 (oracle),2,15,0.0413106352010427
G-JisstPCA0 (oracle),2,16,0.229623001635401
G-JisstPCA0 (oracle),2,17,0.31295837291495
G-JisstPCA0 (oracle),2,18,0.229253410583758
G-JisstPCA0 (oracle),2,19,0.356871452132199
G-JisstPCA0 (oracle),2,20,0.317690332205114
G-JisstPCA0 (BIC),1,1,0.238206317984358
G-JisstPCA0 (BIC),1,2,0.238291386803907
G-JisstPCA0 (BIC),1,3,0.242838464812674
G-JisstPCA0 (BIC),1,4,0.240488316207608
G-JisstPCA0 (BIC),1,5,0.247662771814888
G-JisstPCA0 (BIC),1,6,0.247824633099257
G-JisstPCA0 (BIC),1,7,0.239110001692828
G-JisstPCA0 (BIC),1,8,0.247199531948852
G-JisstPCA0 (BIC),1,9,0.245350690730839
G-JisstPCA0 (BIC),1,10,0.236522362601483
G-JisstPCA0 (BIC),1,11,0.230783838689406
G-JisstPCA0 (BIC),1,12,0.250102656489729
G-JisstPCA0 (BIC),1,13,0.243572735882167
G-JisstPCA0 (BIC),1,14,0.249099476791477
G-JisstPCA0 (BIC),1,15,0.239438596396325
G-JisstPCA0 (BIC),1,16,0.0311061365808567
G-JisstPCA0 (BIC),1,17,0.0127249435662874
G-JisstPCA0 (BIC),1,18,0.238495947579652
G-JisstPCA0 (BIC),1,19,0.0232785152963873
G-JisstPCA0 (BIC),1,20,0.24376549573723
G-JisstPCA0 (BIC),2,1,0.194488597755295
G-JisstPCA0 (BIC),2,2,0.250811884323698
G-JisstPCA0 (BIC),2,3,0.306404807421035
G-JisstPCA0 (BIC),2,4,0.355979136004827
G-JisstPCA0 (BIC),2,5,0.186827691824871
G-JisstPCA0 (BIC),2,6,0.0282528119458315
G-JisstPCA0 (BIC),2,7,0.189339481633972
G-JisstPCA0 (BIC),2,8,0.112307888355368
G-JisstPCA0 (BIC),2,9,0.27309220532388
G-JisstPCA0 (BIC),2,10,0.200378687450226
G-JisstPCA0 (BIC),2,11,-0.0448711507715037
G-JisstPCA0 (BIC),2,12,0.16295439843803
G-JisstPCA0 (BIC),2,13,0.0327571595718167
G-JisstPCA0 (BIC),2,14,0.130030472474032
G-JisstPCA0 (BIC),2,15,0.0413106352010427
G-JisstPCA0 (BIC),2,16,0.229623001635401
G-JisstPCA0 (BIC),2,17,0.31295837291495
G-JisstPCA0 (BIC),2,18,0.229253410583758
G-JisstPCA0 (BIC),2,19,0.356871452132199
G-JisstPCA0 (BIC),2,20,0.317690332205114
JisstPCA2 (oracle),1,1,0.240875619050173
JisstPCA2 (oracle),1,2,0.237191287172413
JisstPCA2 (oracle),1,3,0.241851459924346
JisstPCA2 (oracle),1,4,0.237077221516294
JisstPCA2 (oracle),1,5,0.247514177397466
JisstPCA2 (oracle),1,6,0.247984377176536
JisstPCA2 (oracle),1,7,0.238983120180793
JisstPCA2 (oracle),1,8,0.249863573531069
JisstPCA2 (oracle),1,9,0.247176679647666
JisstPCA2 (oracle),1,10,0.235864846122084
JisstPCA2 (oracle),1,11,0.230863212157223
JisstPCA2 (oracle),1,12,0.252957418472441
JisstPCA2 (oracle),1,13,0.244261937207393
JisstPCA2 (oracle),1,14,0.24799271944947
JisstPCA2 (oracle),1,15,0.240432843448337
JisstPCA2 (oracle),1,16,0.0283122549524562
JisstPCA2 (oracle),1,17,0.0154246448679168
JisstPCA2 (oracle),1,18,0.235626981728584
JisstPCA2 (oracle),1,19,0.0228706080900938
JisstPCA2 (oracle),1,20,0.242174612039663
JisstPCA2 (oracle),2,1,0.0427661942452259
JisstPCA2 (oracle),2,2,-0.00741984078912822
JisstPCA2 (oracle),2,3,-0.0489272842162274
JisstPCA2 (oracle),2,4,0.0134133188346576
JisstPCA2 (oracle),2,5,0.021709041552667
JisstPCA2 (oracle),2,6,0.0114640280652981
JisstPCA2 (oracle),2,7,-0.0426783263899787
JisstPCA2 (oracle),2,8,-0.0574117715884121
JisstPCA2 (oracle),2,9,-0.0139227221828849
JisstPCA2 (oracle),2,10,-0.0212507352636695
JisstPCA2 (oracle),2,11,-0.021396620150647
JisstPCA2 (oracle),2,12,0.0146565572015153
JisstPCA2 (oracle),2,13,0.000361581310514022
JisstPCA2 (oracle),2,14,0.0112351899045796
JisstPCA2 (oracle),2,15,-0.0300824075830961
JisstPCA2 (oracle),2,16,0.541988313069098
JisstPCA2 (oracle),2,17,0.584164301440542
JisstPCA2 (oracle),2,18,-0.0233091022250035
JisstPCA2 (oracle),2,19,0.593182481313372
JisstPCA2 (oracle),2,20,-0.00803333278046027
JisstPCA2 (BIC),1,1,0.240875619050173
JisstPCA2 (BIC),1,2,0.237191287172413
JisstPCA2 (BIC),1,3,0.241851459924346
JisstPCA2 (BIC),1,4,0.237077221516294
JisstPCA2 (BIC),1,5,0.247514177397466
JisstPCA2 (BIC),1,6,0.247984377176536
JisstPCA2 (BIC),1,7,0.238983120180793
JisstPCA2 (BIC),1,8,0.249863573531069
JisstPCA2 (BIC),1,9,0.247176679647666
JisstPCA2 (BIC),1,10,0.235864846122084
JisstPCA2 (BIC),1,11,0.230863212157223
JisstPCA2 (BIC),1,12,0.252957418472441
JisstPCA2 (BIC),1,13,0.244261937207393
JisstPCA2 (BIC),1,14,0.24799271944947
JisstPCA2 (BIC),1,15,0.240432843448337
JisstPCA2 (BIC),1,16,0.0283122549524562
JisstPCA2 (BIC),1,17,0.0154246448679168
JisstPCA2 (BIC),1,18,0.235626981728584
JisstPCA2 (BIC),1,19,0.0228706080900938
JisstPCA2 (BIC),1,20,0.242174612039663
JisstPCA2 (BIC),2,1,0.0427661942452259
JisstPCA2 (BIC),2,2,-0.00741984078912822
JisstPCA2 (BIC),2,3,-0.0489272842162274
JisstPCA2 (BIC),2,4,0.0134133188346576
JisstPCA2 (BIC),2,5,0.021709041552667
JisstPCA2 (BIC),2,6,0.0114640280652981
JisstPCA2 (BIC),2,7,-0.0426783263899787
JisstPCA2 (BIC),2,8,-0.0574117715884121
JisstPCA2 (BIC),2,9,-0.0139227221828849
JisstPCA2 (BIC),2,10,-0.0212507352636695
JisstPCA2 (BIC),2,11,-0.021396620150647
JisstPCA2 (BIC),2,12,0.0146565572015153
JisstPCA2 (BIC),2,13,0.000361581310514022
JisstPCA2 (BIC),2,14,0.0112351899045796
JisstPCA2 (BIC),2,15,-0.0300824075830961
JisstPCA2 (BIC),2,16,0.541988313069098
JisstPCA2 (BIC),2,17,0.584164301440542
JisstPCA2 (BIC),2,18,-0.0233091022250035
JisstPCA2 (BIC),2,19,0.593182481313372
JisstPCA2 (BIC),2,20,-0.00803333278046027
G-JisstPCA2 (oracle),1,1,0.238206317984358
G-JisstPCA2 (oracle),1,2,0.238291386803907
G-JisstPCA2 (oracle),1,3,0.242838464812674
G-JisstPCA2 (oracle),1,4,0.240488316207608
G-JisstPCA2 (oracle),1,5,0.247662771814888
G-JisstPCA2 (oracle),1,6,0.247824633099257
G-JisstPCA2 (oracle),1,7,0.239110001692828
G-JisstPCA2 (oracle),1,8,0.247199531948852
G-JisstPCA2 (oracle),1,9,0.245350690730839
G-JisstPCA2 (oracle),1,10,0.236522362601483
G-JisstPCA2 (oracle),1,11,0.230783838689406
G-JisstPCA2 (oracle),1,12,0.250102656489729
G-JisstPCA2 (oracle),1,13,0.243572735882167
G-JisstPCA2 (oracle),1,14,0.249099476791477
G-JisstPCA2 (oracle),1,15,0.239438596396325
G-JisstPCA2 (oracle),1,16,0.0311061365808567
G-JisstPCA2 (oracle),1,17,0.0127249435662874
G-JisstPCA2 (oracle),1,18,0.238495947579652
G-JisstPCA2 (oracle),1,19,0.0232785152963873
G-JisstPCA2 (oracle),1,20,0.24376549573723
G-JisstPCA2 (oracle),2,1,0.0370658263914726
G-JisstPCA2 (oracle),2,2,-0.00850648032489245
G-JisstPCA2 (oracle),2,3,-0.0476176317146294
G-JisstPCA2 (oracle),2,4,-0.00101128890071201
G-JisstPCA2 (oracle),2,5,0.0146013872971181
G-JisstPCA2 (oracle),2,6,0.00726728756443689
G-JisstPCA2 (oracle),2,7,-0.0309348324795975
G-JisstPCA2 (oracle),2,8,-0.0609441734722002
G-JisstPCA2 (oracle),2,9,-0.00725997375182468
G-JisstPCA2 (oracle),2,10,-0.0264109797470298
G-JisstPCA2 (oracle),2,11,-0.0153373671413925
G-JisstPCA2 (oracle),2,12,0.0177990522876398
G-JisstPCA2 (oracle),2,13,0.00606638798751069
G-JisstPCA2 (oracle),2,14,0.00949578710288736
G-JisstPCA2 (oracle),2,15,-0.0214280643527911
G-JisstPCA2 (oracle),2,16,0.539787851629313
G-JisstPCA2 (oracle),2,17,0.582305712345637
G-JisstPCA2 (oracle),2,18,-0.0196577046622085
G-JisstPCA2 (oracle),2,19,0.598724726513066
G-JisstPCA2 (oracle),2,20,-0.0122931119738796
G-JisstPCA2 (BIC),1,1,0.238206317984358
G-JisstPCA2 (BIC),1,2,0.238291386803907
G-JisstPCA2 (BIC),1,3,0.242838464812674
G-JisstPCA2 (BIC),1,4,0.240488316207608
G-JisstPCA2 (BIC),1,5,0.247662771814888
G-JisstPCA2 (BIC),1,6,0.247824633099257
G-JisstPCA2 (BIC),1,7,0.239110001692828
G-JisstPCA2 (BIC),1,8,0.247199531948852
G-JisstPCA2 (BIC),1,9,0.245350690730839
G-JisstPCA2 (BIC),1,10,0.236522362601483
G-JisstPCA2 (BIC),1,11,0.230783838689406
G-JisstPCA2 (BIC),1,12,0.250102656489729
G-JisstPCA2 (BIC),1,13,0.243572735882167
G-JisstPCA2 (BIC),1,14,0.249099476791477
G-JisstPCA2 (BIC),1,15,0.239438596396325
G-JisstPCA2 (BIC),1,16,0.0311061365808567
G-JisstPCA2 (BIC),1,17,0.0127249435662874
G-JisstPCA2 (BIC),1,18,0.238495947579652
G-JisstPCA2 (BIC),1,19,0.0232785152963873
G-JisstPCA2 (BIC),1,20,0.24376549573723
G-JisstPCA2 (BIC),2,1,0.0370658263914726
G-JisstPCA2 (BIC),2,2,-0.00850648032489245
G-JisstPCA2 (BIC),2,3,-0.0476176317146294
G-JisstPCA2 (BIC),2,4,-0.00101128890071201
G-JisstPCA2 (BIC),2,5,0.0146013872971181
G-JisstPCA2 (BIC),2,6,0.00726728756443689
G-JisstPCA2 (BIC),2,7,-0.0309348324795975
G-JisstPCA2 (BIC),2,8,-0.0609441734722002
G-JisstPCA2 (BIC),2,9,-0.00725997375182468
G-JisstPCA2 (BIC),2,10,-0.0264109797470298
G-JisstPCA2 (BIC),2,11,-0.0153373671413925
G-JisstPCA2 (BIC),2,12,0.0177990522876398
G-JisstPCA2 (BIC),2,13,0.00606638798751069
G-JisstPCA2 (BIC),2,14,0.00949578710288736
G-JisstPCA2 (BIC),2,15,-0.0214280643527911
G-JisstPCA2 (BIC),2,16,0.539787851629313
G-JisstPCA2 (BIC),2,17,0.582305712345637
G-JisstPCA2 (BIC),2,18,-0.0196577046622085
G-JisstPCA2 (BIC),2,19,0.598724726513066
G-JisstPCA2 (BIC),2,20,-0.0122931119738796
iHOSVD,1,1,0.244661276841212
iHOSVD,1,2,0.237625034904513
iHOSVD,1,3,0.242281952800974
iHOSVD,1,4,0.245024586362075
iHOSVD,1,5,0.24286889859953
iHOSVD,1,6,0.245447974493248
iHOSVD,1,7,0.242025978489238
iHOSVD,1,8,0.240576842258594
iHOSVD,1,9,0.246522410746862
iHOSVD,1,10,0.239207538711772
iHOSVD,1,11,0.231246481133854
iHOSVD,1,12,0.251022170682216
iHOSVD,1,13,0.23672779448756
iHOSVD,1,14,0.244966741004788
iHOSVD,1,15,0.236210934113777
iHOSVD,1,16,0.0557037153609524
iHOSVD,1,17,0.0356254610643212
iHOSVD,1,18,0.23698481822997
iHOSVD,1,19,0.0466540025303424
iHOSVD,1,20,0.24539429898171
iHOSVD,2,1,-0.0288015742435331
iHOSVD,2,2,0.0914517705351679
iHOSVD,2,3,0.00863912078423169
iHOSVD,2,4,-0.0179056713635992
iHOSVD,2,5,0.0372643337595722
iHOSVD,2,6,-0.0136524485309017
iHOSVD,2,7,0.0168350034141649
iHOSVD,2,8,0.0818323155989655
iHOSVD,2,9,0.0444814638979103
iHOSVD,2,10,0.0125987805883688
iHOSVD,2,11,0.0401408744925859
iHOSVD,2,12,0.0389582807286358
iHOSVD,2,13,0.008425155420918
iHOSVD,2,14,-0.0326387830331838
iHOSVD,2,15,0.0124244102418517
iHOSVD,2,16,-0.522114897632841
iHOSVD,2,17,-0.607256530009798
iHOSVD,2,18,-0.0442947235331621
iHOSVD,2,19,-0.572426269617409
iHOSVD,2,20,0.0655858781067466
iHOOI,1,1,-0.238035785043954
iHOOI,1,2,-0.238357961203012
iHOOI,1,3,-0.24372854513297
iHOOI,1,4,-0.240218055606843
iHOOI,1,5,-0.247540655014573
iHOOI,1,6,-0.247746025101467
iHOOI,1,7,-0.239416914803458
iHOOI,1,8,-0.247822133891183
iHOOI,1,9,-0.245239107220465
